"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"HSPB2",24.1321421356877,-3.12765365379612,0.326167213771195,-9.5891111115483,8.88471277773795e-22,1.69099398654876e-19
"KLF4",755.046016283824,-2.96740774872082,0.30969735205394,-9.58163745682912,9.55183697869565e-22,1.80516265605829e-19
"ATIC",193.666803152027,1.07777649581258,0.112552856650663,9.57573648403912,1.01133907527982e-21,1.89792275693771e-19
"BMP5",9.62573196451493,-3.7435162771787,0.391082394440424,-9.57219330349828,1.04661377240052e-21,1.95048105528752e-19
"ARHGAP20",79.7129544681713,-2.69382168501517,0.281696115417264,-9.56286415602476,1.14542038572947e-21,2.11989665320249e-19
"AP001528.2",33.6696827890937,-3.16252506715491,0.330820001171121,-9.55965496632428,1.1814993748637e-21,2.17169296053714e-19
"AP001528.3",68.6684527443188,-2.9507225513374,0.308926537700216,-9.55153472182695,1.27788986610634e-21,2.33288792155305e-19
"NEK2",32.0820216259749,3.85006323159101,0.403798103108821,9.53462436289217,1.50429167969523e-21,2.72764672407441e-19
"PID1",65.486360710397,-2.70006428406711,0.283370350261657,-9.52839378422598,1.59735475856079e-21,2.87695384568708e-19
"KLF15",94.4818128035983,-3.64335396273805,0.382507264647228,-9.52492749673181,1.65157168688996e-21,2.95477185262526e-19
